date_time,deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target_carbon_monoxide,target_benzene,target_nitrogen_oxides,day_of_week,day_type,max_scaled_sensor_1,max_scaled_sensor_2,sensor_one_binned,sensor_two_binned,date,year,month,day,month-day
2010-03-10 18:00:00,13.1,46.0,0.7578,1387.2,1087.8,1056.0,1742.8,1293.4,2.5,12.0,167.7,2,weekday,0.6642723746588134,0.47242247893685396,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-10 19:00:00,13.2,45.3,0.7255,1279.1,888.2,1197.5,1449.9,1010.9,2.1,9.9,98.9,2,weekday,0.6125077814490254,0.38573786154781553,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-10 20:00:00,12.6,56.2,0.7502,1331.9,929.6,1060.2,1586.1,1117.0,2.2,9.2,127.1,2,weekday,0.6377915050519561,0.40371753669764615,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-10 21:00:00,11.0,62.4,0.7867,1321.0,929.0,1102.9,1536.5,1263.2,2.2,9.7,177.2,2,weekday,0.6325719484748359,0.4034569616954747,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-10 22:00:00,11.9,59.0,0.7888,1272.0,852.7,1180.9,1415.5,1132.2,1.5,6.4,121.8,2,weekday,0.6091078867978739,0.3703205072526709,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-10 23:00:00,11.2,56.8,0.7848,1220.9,697.5,1417.2,1462.6,949.0,1.2,4.4,88.1,2,weekday,0.5846382224776133,0.30291844002432033,0.5-0.8,0.2-0.5,2010-03-10,2010,3,10,310
2010-03-11 00:00:00,10.7,55.7,0.7603,1244.2,669.3,1491.2,1413.0,769.6,1.2,3.7,59.5,3,weekday,0.5957956232342096,0.2906714149222618,0.5-0.8,0.2-0.5,2010-03-11,2010,3,11,311
2010-03-11 01:00:00,10.3,57.0,0.7702,1181.4,631.7,1511.1,1359.7,715.4,1.0,3.4,63.9,3,weekday,0.5657233156155724,0.2743420481195171,0.5-0.8,0.2-0.5,2010-03-11,2010,3,11,311
2010-03-11 02:00:00,10.1,62.7,0.7648,1159.6,602.9,1610.6,1212.2,657.2,0.9,2.2,46.4,3,weekday,0.5552842024613321,0.26183444801528705,0.5-0.8,0.2-0.5,2010-03-11,2010,3,11,311
2010-03-11 03:00:00,10.5,59.6,0.7517,1030.2,521.7,1790.2,1148.6,491.0,0.6,1.6,43.0,3,weekday,0.4933199252980893,0.22656996438808308,0.2-0.5,0.2-0.5,2010-03-11,2010,3,11,311
